NO;ITEM;RESTO;VENDOR UTAMA;LEAD TIME;LOKASI;VENDOR ALTERNATIF 1;LEAD TIME2;LOKASI3;VENDOR ALTERNATIF 2;LEAD TIME4;LOKASI5
;;PINRANG;PRODUKSI TMB;6;PALOPO;;;;;;
;;MAKASSAR;PRODUKSI TMB;6;PALOPO;;;;;;
47;BUMBU MARINASI;PALOPO;;;;;;;;;
;;BONE;TUUK HOUSE MEATS;1;PALOPO;;;;;;
;;PARE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PINRANG;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;MAKASSAR;TUUK HOUSE MEATS;6;PALOPO;;;;;;
48;BUMBU MARINASI IKAN DORI;PALOPO;PRODUKSI TMB;1;PALOPO;;;;;;
;;BONE;PRODUKSI TMB;1;PALOPO;;;;;;
;;PARE;PRODUKSI TMB;1;PALOPO;;;;;;
;;PINRANG;PRODUKSI TMB;1;PALOPO;;;;;;
;;MAKASSAR;PRODUKSI TMB;1;PALOPO;;;;;;
49;BUTTERFLY PEA TEA;PALOPO;PASAR TEH;7;JAKARTA;;;;;;
;;BONE;PASAR TEH;7;JAKARTA;;;;;;
;;PARE;PASAR TEH;7;JAKARTA;;;;;;
;;PINRANG;PASAR TEH;7;JAKARTA;;;;;;
;;MAKASSAR;PASAR TEH;7;JAKARTA;;;;;;
50;CABE;PALOPO;VENDOR SAYUR MA KEMBAR;1;PALOPO;VENDOR CABE PALOPO;1;PALOPO;VENDOR SAYUR 1 PALOPO;1;PALOPO
;;BONE;VENDOR SAYUR;1;BONE;TOKO 89 ;1;BONE;VENDOR SAYUR 1 BONE;1;BONE
;;PARE;TOKO SAYUR Hj. IDA;1;PARE;VENDOR SAYUR 1 PARE;1;PARE;VENDOR SAYUR 2 PARE;1;PARE
;;PINRANG;LAMBADA PINRANG;1;PINRANG;VENDOR SAYUR 1 PINRANG;1;PINRANG;VENDOR SAYUR 2 PINRANG;1;PINRANG
;;MAKASSAR;TOKO AULIA;1;MAKASSAR;TOKO ALIP;1;MAKASSAR;TOKO BERKAH BERSAMA;1;MAKASSAR
;;;;;;;;;;;
51;CABE KERING;PALOPO;VENDOR SAYUR MA KEMBAR;1;PALOPO;VENDOR CABE PALOPO;1;PALOPO;VENDOR SAYUR 1 PALOPO;1;PALOPO
52;CHICKEN BROTH;PALOPO;TUUK HOUSE MEATS;1;PALOPO;;;;;;
;;BONE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PARE;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;PINRANG;TUUK HOUSE MEATS;6;PALOPO;;;;;;
;;;;;;;;;;;
53;CHICKEN POWDER;PALOPO;TOMPOTIKA;5;PALOPO;;;;;;
54;CHILI OIL;PALOPO;PRODUKSI TMB;1;PALOPO;;;;;;
;;BONE;PRODUKSI TMB;1;PALOPO;;;;;;
;;PARE;PRODUKSI TMB;1;PALOPO;;;;;;
;;PINRANG;PRODUKSI TMB;1;PALOPO;;;;;;
;;;;;;;;;;;
55;CLING;PALOPO;ALFAMIDI;1;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO MARKET;1;PALOPO
;;BONE;ALFAMIDI;1;BONE;SWALAYAN ORIENTAL;1;BONE;BENTENG MART;3;MAKASSAR
;;PARE;ALFAMIDI;1;PARE;TOKO GROSIR 1 PARE;1;PARE;BENTENG MART;3;MAKASSAR
;;PINRANG;ALFAMIDI;1;PINRANG;TOKO GROSIR 1 PINRANG;1;PINRANG;BENTENG MART;3;MAKASSAR
;;MAKASSAR;ALFAMIDI;1;MAKASSAR;TOKO SATU SAMA;1;MAKASSAR;BENTENG MART;1;MAKASSAR
;;;;;;;;;;;
58;COCOA POWDER;PALOPO;;;;;;;;;
;;BONE;;;;;;;;;
;;PARE;;;;;;;;;
;;PINRANG;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
59;COCOBITES;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO MARKET;1;PALOPO;SWALAYAN ORIENTAL;2;BONE
;;BONE;SWALAYAN ORIENTAL;1;BONE;DAPUR MARKET;1;PALOPO;DP INDO MARKET;1;PALOPO
;;PARE;DAPUR MARKET;2;PALOPO;DP INDO MARKET;2;PALOPO;SWALAYAN ORIENTAL;2;BONE
;;PINRANG;DAPUR MARKET;2;PALOPO;DP INDO MARKET;2;PALOPO;SWALAYAN ORIENTAL;2;BONE
;;MAKASSAR;TOKO CAHAYA BARU;1;MAKASSAR;TOKO SATU SAMA;1;MAKASSAR;BENTENG MART;1;MAKASSAR
;;;;;;;;;;;
60;CRUMBLE CARAMEL;TUUK TEA;DAPUR MARKET;1;PALOPO;DP INDO MARKET;1;PALOPO;;;
;;;;;;;;;;;
61;CTC BLACKTEA;PALOPO;PASAR TEH;7;JAKARTA;;;;;;
;;BONE;PASAR TEH;7;JAKARTA;;;;;;
;;PARE;PASAR TEH;7;JAKARTA;;;;;;
;;PINRANG;PASAR TEH;7;JAKARTA;;;;;;
;;;;;;;;;;;
62;CUP 6,5 OZ;PALOPO;SWALAYAN ORIENTAL;2;BONE;HIBA PLATIK;2;PINRANG;MAKASSAR PLASTIK;3;MAKASSAR
;;BONE;SWALAYAN ORIENTAL;1;BONE;HIBA PLATIK;2;PINRANG;MAKASSAR PLASTIK;3;MAKASSAR
